date,hw_name,status,duration_in_seconds,folding_summary,folding_diff,build_dir,resource_limits,Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,BRAM (36k),DSP Blocks,estimated_throughput_fps,max_cycles_node_name
2025-04-26 08:55:58,t2w4_run1_20_BOTH,success,425.67,"{""Defaults"": {}, ""StreamingFIFO_rtl_0"": {}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""StreamingFIFO_rtl_1"": {}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_2"": {}, ""StreamingDataWidthConverter_rtl_0"": {}, ""StreamingFIFO_rtl_3"": {}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 3}, ""StreamingFIFO_rtl_4"": {}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""StreamingFIFO_rtl_5"": {}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_6"": {}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 2}, ""StreamingFIFO_rtl_7"": {}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""StreamingFIFO_rtl_8"": {}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_9"": {}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 1}, ""StreamingFIFO_rtl_10"": {}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""StreamingFIFO_rtl_11"": {}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_12"": {}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""StreamingFIFO_rtl_13"": {}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""StreamingFIFO_rtl_14"": {}, ""LabelSelect_hls_0"": {""PE"": 1}, ""StreamingFIFO_rtl_15"": {}}",{},/home/arthurely/Desktop/finn/hara/builds/run_2025-04-26_08-48-50/t2w4_run1_20_BOTH,"{""Total LUTs"": 10640.0, ""FFs"": 21280.0, ""BRAM (36k)"": 28.0, ""DSP Blocks"": 44.0}",4803,4253,190,360,4571,9.5,1,2034.50520833333,MVAU_hls_0
2025-04-26 09:03:05,t2w4_run2_20_BOTH,success,425.55,"{""Defaults"": {}, ""StreamingFIFO_rtl_0"": {}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""StreamingFIFO_rtl_1"": {}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_2"": {}, ""StreamingDataWidthConverter_rtl_0"": {}, ""StreamingFIFO_rtl_3"": {}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 4}, ""StreamingFIFO_rtl_4"": {}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""StreamingFIFO_rtl_5"": {}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_6"": {}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 2}, ""StreamingFIFO_rtl_7"": {}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""StreamingFIFO_rtl_8"": {}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_9"": {}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 1}, ""StreamingFIFO_rtl_10"": {}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""StreamingFIFO_rtl_11"": {}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_12"": {}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""StreamingFIFO_rtl_13"": {}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""StreamingFIFO_rtl_14"": {}, ""LabelSelect_hls_0"": {""PE"": 1}, ""StreamingFIFO_rtl_15"": {}}","{""MVAU_hls_0"": {""from"": {""PE"": 1, ""SIMD"": 3}, ""to"": {""PE"": 1, ""SIMD"": 4}}}",/home/arthurely/Desktop/finn/hara/builds/run_2025-04-26_08-48-50/t2w4_run2_20_BOTH,"{""Total LUTs"": 10640.0, ""FFs"": 21280.0, ""BRAM (36k)"": 28.0, ""DSP Blocks"": 44.0}",4777,4291,190,296,4701,11,1,2712.67361111111,MVAU_hls_0
2025-04-26 09:10:14,t2w4_run3_20_BOTH,success,426.88,"{""Defaults"": {}, ""StreamingFIFO_rtl_0"": {}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""StreamingFIFO_rtl_1"": {}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_2"": {}, ""StreamingDataWidthConverter_rtl_0"": {}, ""StreamingFIFO_rtl_3"": {}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 6}, ""StreamingFIFO_rtl_4"": {}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""StreamingFIFO_rtl_5"": {}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_6"": {}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 3}, ""StreamingFIFO_rtl_7"": {}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""StreamingFIFO_rtl_8"": {}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_9"": {}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 1}, ""StreamingFIFO_rtl_10"": {}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""StreamingFIFO_rtl_11"": {}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_12"": {}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""StreamingFIFO_rtl_13"": {}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""StreamingFIFO_rtl_14"": {}, ""LabelSelect_hls_0"": {""PE"": 1}, ""StreamingFIFO_rtl_15"": {}}","{""MVAU_hls_0"": {""from"": {""PE"": 1, ""SIMD"": 4}, ""to"": {""PE"": 1, ""SIMD"": 6}}, ""MVAU_hls_1"": {""from"": {""PE"": 1, ""SIMD"": 2}, ""to"": {""PE"": 1, ""SIMD"": 3}}}",/home/arthurely/Desktop/finn/hara/builds/run_2025-04-26_08-48-50/t2w4_run3_20_BOTH,"{""Total LUTs"": 10640.0, ""FFs"": 21280.0, ""BRAM (36k)"": 28.0, ""DSP Blocks"": 44.0}",5078,4448,190,440,4871,8.5,1,4069.01041666667,MVAU_hls_0
2025-04-26 09:17:25,t2w4_run4_20_BOTH,success,428.04,"{""Defaults"": {}, ""StreamingFIFO_rtl_0"": {}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""StreamingFIFO_rtl_1"": {}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_2"": {}, ""StreamingDataWidthConverter_rtl_0"": {}, ""StreamingFIFO_rtl_3"": {}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 9},5425.347222222223, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""StreamingFIFO_rtl_5"": {}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_6"": {}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 4}, ""StreamingFIFO_rtl_7"": {}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""StreamingFIFO_rtl_8"": {}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_9"": {}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 1}, ""StreamingFIFO_rtl_10"": {}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""StreamingFIFO_rtl_11"": {}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_12"": {}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""StreamingFIFO_rtl_13"": {}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""StreamingFIFO_rtl_14"": {}, ""LabelSelect_hls_0"": {""PE"": 1}, ""StreamingFIFO_rtl_15"": {}}","{""MVAU_hls_0"": {""from"": {""PE"": 1, ""SIMD"": 6}, ""to"": {""PE"": 1, ""SIMD"": 9}}, ""MVAU_hls_1"": {""from"": {""PE"": 1, ""SIMD"": 3}, ""to"": {""PE"": 1, ""SIMD"": 4}}}",/home/arthurely/Desktop/finn/hara/builds/run_2025-04-26_08-48-50/t2w4_run4_20_BOTH,"{""Total LUTs"": 10640.0, ""FFs"": 21280.0, ""BRAM (36k)"": 28.0, ""DSP Blocks"": 44.0}",5232,4690,190,352,5265,7,1,5425.34722222222,MVAU_hls_1
2025-04-26 09:24:40,t2w4_run5_20_BOTH,success,432.56,"{""Defaults"": {}, ""StreamingFIFO_rtl_0"": {}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""StreamingFIFO_rtl_1"": {}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_2"": {}, ""StreamingDataWidthConverter_rtl_0"": {}, ""StreamingFIFO_rtl_3"": {}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 9}, ""StreamingFIFO_rtl_4"": {}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""StreamingFIFO_rtl_5"": {}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_6"": {}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 6}, ""StreamingFIFO_rtl_7"": {}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""StreamingFIFO_rtl_8"": {}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_9"": {}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 2}, ""StreamingFIFO_rtl_10"": {}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""StreamingFIFO_rtl_11"": {}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_12"": {}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""StreamingFIFO_rtl_13"": {}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""StreamingFIFO_rtl_14"": {}, ""LabelSelect_hls_0"": {""PE"": 1}, ""StreamingFIFO_rtl_15"": {}}","{""MVAU_hls_1"": {""from"": {""PE"": 1, ""SIMD"": 4}, ""to"": {""PE"": 1, ""SIMD"": 6}}, ""MVAU_hls_2"": {""from"": {""PE"": 1, ""SIMD"": 1}, ""to"": {""PE"": 1, ""SIMD"": 2}}}",/home/arthurely/Desktop/finn/hara/builds/run_2025-04-26_08-48-50/t2w4_run5_20_BOTH,"{""Total LUTs"": 10640.0, ""FFs"": 21280.0, ""BRAM (36k)"": 28.0, ""DSP Blocks"": 44.0}",5270,4704,190,376,5398,6.5,1,6103.515625,MVAU_hls_0
2025-04-26 09:31:56,t2w4_run6_20_BOTH,success,434.56,"{""Defaults"": {}, ""StreamingFIFO_rtl_0"": {}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""StreamingFIFO_rtl_1"": {}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_2"": {}, ""StreamingDataWidthConverter_rtl_0"": {}, ""StreamingFIFO_rtl_3"": {}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 12}, ""StreamingFIFO_rtl_4"": {}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""StreamingFIFO_rtl_5"": {}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_6"": {}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 6}, ""StreamingFIFO_rtl_7"": {}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""StreamingFIFO_rtl_8"": {}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_9"": {}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 2}, ""StreamingFIFO_rtl_10"": {}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""StreamingFIFO_rtl_11"": {}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_12"": {}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""StreamingFIFO_rtl_13"": {}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""StreamingFIFO_rtl_14"": {}, ""LabelSelect_hls_0"": {""PE"": 1}, ""StreamingFIFO_rtl_15"": {}}","{""MVAU_hls_0"": {""from"": {""PE"": 1, ""SIMD"": 9}, ""to"": {""PE"": 1, ""SIMD"": 12}}}",/home/arthurely/Desktop/finn/hara/builds/run_2025-04-26_08-48-50/t2w4_run6_20_BOTH,"{""Total LUTs"": 10640.0, ""FFs"": 21280.0, ""BRAM (36k)"": 28.0, ""DSP Blocks"": 44.0}",5494,4872,190,432,5571,6.5,1,8138.02083333333,MVAU_hls_0
2025-04-26 09:39:14,t2w4_run7_20_BOTH,success,435.37,"{""Defaults"": {}, ""StreamingFIFO_rtl_0"": {}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""StreamingFIFO_rtl_1"": {}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_2"": {}, ""StreamingDataWidthConverter_rtl_0"": {}, ""StreamingFIFO_rtl_3"": {}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 18}, ""StreamingFIFO_rtl_4"": {}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""StreamingFIFO_rtl_5"": {}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_6"": {}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 8}, ""StreamingFIFO_rtl_7"": {}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""StreamingFIFO_rtl_8"": {}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_9"": {}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 2}, ""StreamingFIFO_rtl_10"": {}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""StreamingFIFO_rtl_11"": {}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_12"": {}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""StreamingFIFO_rtl_13"": {}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""StreamingFIFO_rtl_14"": {}, ""LabelSelect_hls_0"": {""PE"": 1}, ""StreamingFIFO_rtl_15"": {}}","{""MVAU_hls_0"": {""from"": {""PE"": 1, ""SIMD"": 12}, ""to"": {""PE"": 1, ""SIMD"": 18}}, ""MVAU_hls_1"": {""from"": {""PE"": 1, ""SIMD"": 6}, ""to"": {""PE"": 1, ""SIMD"": 8}}}",/home/arthurely/Desktop/finn/hara/builds/run_2025-04-26_08-48-50/t2w4_run7_20_BOTH,"{""Total LUTs"": 10640.0, ""FFs"": 21280.0, ""BRAM (36k)"": 28.0, ""DSP Blocks"": 44.0}",5823,5273,190,360,6566,5.5,1,10162.6016260163,ConvolutionInputGenerator_rtl_1
2025-04-26 09:46:40,t2w4_run8_20_BOTH,success,444.06,"{""Defaults"": {}, ""StreamingFIFO_rtl_0"": {}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""StreamingFIFO_rtl_1"": {}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_2"": {}, ""StreamingDataWidthConverter_rtl_0"": {}, ""StreamingFIFO_rtl_3"": {}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 18}, ""StreamingFIFO_rtl_4"": {}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""StreamingFIFO_rtl_5"": {}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 2, ""parallel_window"": 0}, ""StreamingFIFO_rtl_6"": {}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 8}, ""StreamingFIFO_rtl_7"": {}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""StreamingFIFO_rtl_8"": {}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_9"": {}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 2}, ""StreamingFIFO_rtl_10"": {}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""StreamingFIFO_rtl_11"": {}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_12"": {}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""StreamingFIFO_rtl_13"": {}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""StreamingFIFO_rtl_14"": {}, ""LabelSelect_hls_0"": {""PE"": 1}, ""StreamingFIFO_rtl_15"": {}}","{""ConvolutionInputGenerator_rtl_1"": {""from"": {""SIMD"": 1, ""parallel_window"": 0}, ""to"": {""SIMD"": 2, ""parallel_window"": 0}}}",/home/arthurely/Desktop/finn/hara/builds/run_2025-04-26_08-48-50/t2w4_run8_20_BOTH,"{""Total LUTs"": 10640.0, ""FFs"": 21280.0, ""BRAM (36k)"": 28.0, ""DSP Blocks"": 44.0}",5878,5264,190,424,6575,5,1,10526.3157894737,ConvolutionInputGenerator_rtl_0
2025-04-26 09:54:25,t2w4_run9_20_BOTH,success,462.42,"{""Defaults"": {}, ""StreamingFIFO_rtl_0"": {}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""StreamingFIFO_rtl_1"": {}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 2, ""parallel_window"": 0}, ""StreamingFIFO_rtl_2"": {}, ""StreamingDataWidthConverter_rtl_0"": {}, ""StreamingFIFO_rtl_3"": {}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 18}, ""StreamingFIFO_rtl_4"": {}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""StreamingFIFO_rtl_5"": {}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 2, ""parallel_window"": 0}, ""StreamingFIFO_rtl_6"": {}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 8}, ""StreamingFIFO_rtl_7"": {}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""StreamingFIFO_rtl_8"": {}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_9"": {}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 2}, ""StreamingFIFO_rtl_10"": {}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""StreamingFIFO_rtl_11"": {}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_12"": {}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""StreamingFIFO_rtl_13"": {}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""StreamingFIFO_rtl_14"": {}, ""LabelSelect_hls_0"": {""PE"": 1}, ""StreamingFIFO_rtl_15"": {}}","{""ConvolutionInputGenerator_rtl_0"": {""from"": {""SIMD"": 1, ""parallel_window"": 0}, ""to"": {""SIMD"": 2, ""parallel_window"": 0}}}",/home/arthurely/Desktop/finn/hara/builds/run_2025-04-26_08-48-50/t2w4_run9_20_BOTH,"{""Total LUTs"": 10640.0, ""FFs"": 21280.0, ""BRAM (36k)"": 28.0, ""DSP Blocks"": 44.0}",5858,5266,184,408,6405,6,1,10850.6944444444,MVAU_hls_1
2025-04-26 10:02:41,t2w4_run10_20_BOTH,success,493.17,"{""Defaults"": {}, ""StreamingFIFO_rtl_0"": {}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""StreamingFIFO_rtl_1"": {}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 2, ""parallel_window"": 0}, ""StreamingFIFO_rtl_2"": {}, ""StreamingDataWidthConverter_rtl_0"": {}, ""StreamingFIFO_rtl_3"": {}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 18}, ""StreamingFIFO_rtl_4"": {}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""StreamingFIFO_rtl_5"": {}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 2, ""parallel_window"": 0}, ""StreamingFIFO_rtl_6"": {}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 9}, ""StreamingFIFO_rtl_7"": {}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""StreamingFIFO_rtl_8"": {}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_9"": {}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 3}, ""StreamingFIFO_rtl_10"": {}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""StreamingFIFO_rtl_11"": {}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_12"": {}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""StreamingFIFO_rtl_13"": {}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""StreamingFIFO_rtl_14"": {}, ""LabelSelect_hls_0"": {""PE"": 1}, ""StreamingFIFO_rtl_15"": {}}","{""MVAU_hls_1"": {""from"": {""PE"": 1, ""SIMD"": 8}, ""to"": {""PE"": 1, ""SIMD"": 9}}, ""MVAU_hls_2"": {""from"": {""PE"": 1, ""SIMD"": 2}, ""to"": {""PE"": 1, ""SIMD"": 3}}}",/home/arthurely/Desktop/finn/hara/builds/run_2025-04-26_08-48-50/t2w4_run10_20_BOTH,"{""Total LUTs"": 10640.0, ""FFs"": 21280.0, ""BRAM (36k)"": 28.0, ""DSP Blocks"": 44.0}",6268,5508,184,576,7031,5.5,1,12207.03125,MVAU_hls_0
2025-04-26 10:10:36,t2w4_run11_20_BOTH,success,473.14,"{""Defaults"": {}, ""StreamingFIFO_rtl_0"": {}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""StreamingFIFO_rtl_1"": {}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 2, ""parallel_window"": 0}, ""StreamingFIFO_rtl_2"": {}, ""StreamingDataWidthConverter_rtl_0"": {}, ""StreamingFIFO_rtl_3"": {}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 36}, ""StreamingFIFO_rtl_4"": {}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""StreamingFIFO_rtl_5"": {}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 2, ""parallel_window"": 0}, ""StreamingFIFO_rtl_6"": {}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 12}, ""StreamingFIFO_rtl_7"": {}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""StreamingFIFO_rtl_8"": {}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_9"": {}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 3}, ""StreamingFIFO_rtl_10"": {}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""StreamingFIFO_rtl_11"": {}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1, ""parallel_window"": 0}, ""StreamingFIFO_rtl_12"": {}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""StreamingFIFO_rtl_13"": {}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""StreamingFIFO_rtl_14"": {}, ""LabelSelect_hls_0"": {""PE"": 1}, ""StreamingFIFO_rtl_15"": {}}","{""MVAU_hls_0"": {""from"": {""PE"": 1, ""SIMD"": 18}, ""to"": {""PE"": 1, ""SIMD"": 36}}, ""MVAU_hls_1"": {""from"": {""PE"": 1, ""SIMD"": 9}, ""to"": {""PE"": 1, ""SIMD"": 12}}}",/home/arthurely/Desktop/finn/hara/builds/run_2025-04-26_08-48-50/t2w4_run11_20_BOTH,"{""Total LUTs"": 10640.0, ""FFs"": 21280.0, ""BRAM (36k)"": 28.0, ""DSP Blocks"": 44.0}",6885,6269,184,432,8319,6,1,16276.0416666667,MVAU_hls_1
