Repo,NodeName,OpType,Partition,ActVal,MH,MW,PE,SIMD,accDataType,binaryXnorMode,inFIFODepths,inputDataType,noActivation,numInputVectors,outFIFODepths,outputDataType,resType,weightDataType,Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t4w1a1_100fps_u,StreamingDataflowPartition_1_MVAU_hls_3,MVAU_hls,partition_2,0,128,1152,1,16,b'INT11',1,[1725],b'BINARY',0,"[1, 10, 10]",[2],b'BINARY',b'auto',b'BINARY',664,664,0,0,1442,8,1,0
t4w1a1_100fps_u,StreamingDataflowPartition_1_MVAU_hls_4,MVAU_hls,partition_2,0,256,1152,1,3,b'INT11',1,[1918],b'BINARY',0,"[1, 3, 3]",[2],b'BINARY',b'auto',b'BINARY',1988,1988,0,0,1369,9,1,0
t4w1a1_100fps_u,StreamingDataflowPartition_1_MVAU_hls_5,MVAU_hls,partition_2,0,256,2304,1,3,b'INT12',1,[136],b'BINARY',0,"[1, 1, 1]",[2],b'BINARY',b'auto',b'BINARY',3285,3285,0,0,2539,18,1,0
t4w1a1_100fps_u,StreamingDataflowPartition_1_MVAU_hls_6,MVAU_hls,partition_2,0,512,256,1,1,b'INT9',1,[2],b'BINARY',0,[1],[2],b'BINARY',b'auto',b'BINARY',548,548,0,0,429,4,1,0
t4w1a1_100fps_u,StreamingDataflowPartition_1_MVAU_hls_7,MVAU_hls,partition_2,0,512,512,1,1,b'INT10',1,[2],b'BINARY',0,[1],[2],b'BINARY',b'auto',b'BINARY',1047,1047,0,0,698,8,1,0
t4w1a1_100fps_u,StreamingDataflowPartition_1_MVAU_hls_8,MVAU_hls,partition_2,0,10,512,1,1,b'INT16',1,[2],b'BINARY',1,[1],[2],b'INT16',b'auto',b'BINARY',979,979,0,0,727,1,0,0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_MVAU_hls_0,MVAU_hls,partition_2,0,64,27,4,27,b'INT13',0,[2],b'INT8',0,"[1, 30, 30]",[2],b'BINARY',b'auto',b'INT2',2615,2615,0,0,3920,3,0,0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_MVAU_hls_1,MVAU_hls,partition_2,0,64,576,16,72,b'INT10',1,[32],b'BINARY',0,"[1, 28, 28]",[2],b'BINARY',b'auto',b'BINARY',7129,7129,0,0,8075,32,0,0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_MVAU_hls_2,MVAU_hls,partition_2,0,128,576,8,72,b'INT10',1,[32],b'BINARY',0,"[1, 12, 12]",[2],b'BINARY',b'auto',b'BINARY',2067,2067,0,0,2800,8,0,0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_MVAU_hls_3,MVAU_hls,partition_2,0,128,1152,8,72,b'INT11',1,[382],b'BINARY',0,"[1, 10, 10]",[2],b'BINARY',b'auto',b'BINARY',3881,3881,0,0,5358,16,0,0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_MVAU_hls_4,MVAU_hls,partition_2,0,256,1152,1,96,b'INT11',1,[55],b'BINARY',0,"[1, 3, 3]",[2],b'BINARY',b'auto',b'BINARY',1135,1135,0,0,1916,8,2,0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_MVAU_hls_5,MVAU_hls,partition_2,0,256,2304,1,3,b'INT12',1,[766],b'BINARY',0,"[1, 1, 1]",[2],b'BINARY',b'auto',b'BINARY',3286,3286,0,0,2539,18,1,0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_MVAU_hls_6,MVAU_hls,partition_2,0,512,256,1,8,b'INT9',1,[2],b'BINARY',0,[1],[2],b'BINARY',b'auto',b'BINARY',324,324,0,0,464,4,1,0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_MVAU_hls_7,MVAU_hls,partition_2,0,512,512,1,16,b'INT10',1,[2],b'BINARY',0,[1],[2],b'BINARY',b'auto',b'BINARY',426,426,0,0,793,8,1,0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_MVAU_hls_8,MVAU_hls,partition_2,0,10,512,1,1,b'INT16',1,[2],b'BINARY',1,[1],[2],b'INT16',b'auto',b'BINARY',979,979,0,0,727,1,0,0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_MVAU_hls_0,MVAU_hls,partition_2,0,64,27,4,27,b'INT13',0,[2],b'INT8',0,"[1, 30, 30]",[2],b'BINARY',b'auto',b'INT2',2615,2615,0,0,3920,3,0,0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_MVAU_hls_1,MVAU_hls,partition_2,0,64,576,32,72,b'INT10',1,[2],b'BINARY',0,"[1, 28, 28]",[2],b'BINARY',b'auto',b'BINARY',7129,7129,0,0,8075,32,0,0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_MVAU_hls_2,MVAU_hls,partition_2,0,128,576,8,72,b'INT10',1,[32],b'BINARY',0,"[1, 12, 12]",[2],b'BINARY',b'auto',b'BINARY',2067,2067,0,0,2800,8,0,0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_MVAU_hls_3,MVAU_hls,partition_2,0,128,1152,16,72,b'INT11',1,[32],b'BINARY',0,"[1, 10, 10]",[2],b'BINARY',b'auto',b'BINARY',3881,3881,0,0,5358,16,0,0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_MVAU_hls_4,MVAU_hls,partition_2,0,256,1152,2,72,b'INT11',1,[63],b'BINARY',0,"[1, 3, 3]",[2],b'BINARY',b'auto',b'BINARY',1135,1135,0,0,1916,8,2,0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_MVAU_hls_5,MVAU_hls,partition_2,0,256,2304,1,3,b'INT12',1,[766],b'BINARY',0,"[1, 1, 1]",[2],b'BINARY',b'auto',b'BINARY',3286,3286,0,0,2539,18,1,0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_MVAU_hls_6,MVAU_hls,partition_2,0,512,256,1,8,b'INT9',1,[2],b'BINARY',0,[1],[2],b'BINARY',b'auto',b'BINARY',324,324,0,0,464,4,1,0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_MVAU_hls_7,MVAU_hls,partition_2,0,512,512,1,16,b'INT10',1,[2],b'BINARY',0,[1],[2],b'BINARY',b'auto',b'BINARY',426,426,0,0,793,8,1,0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_MVAU_hls_8,MVAU_hls,partition_2,0,10,512,1,1,b'INT16',1,[2],b'BINARY',1,[1],[2],b'INT16',b'auto',b'BINARY',979,979,0,0,727,1,0,0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_MVAU_hls_0,MVAU_hls,partition_2,0,64,27,4,27,b'INT13',0,[783],b'INT8',0,"[1, 30, 30]",[2],b'BINARY',b'auto',b'INT2',2615,2615,0,0,3920,3,0,0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_MVAU_hls_1,MVAU_hls,partition_2,0,64,576,32,72,b'INT10',1,[2],b'BINARY',0,"[1, 28, 28]",[2],b'BINARY',b'auto',b'BINARY',7129,7129,0,0,8075,32,0,0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_MVAU_hls_2,MVAU_hls,partition_2,0,128,576,8,72,b'INT10',1,[32],b'BINARY',0,"[1, 12, 12]",[2],b'BINARY',b'auto',b'BINARY',2067,2067,0,0,2800,8,0,0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_MVAU_hls_3,MVAU_hls,partition_2,0,128,1152,16,72,b'INT11',1,[32],b'BINARY',0,"[1, 10, 10]",[2],b'BINARY',b'auto',b'BINARY',3881,3881,0,0,5358,16,0,0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_MVAU_hls_4,MVAU_hls,partition_2,0,256,1152,2,72,b'INT11',1,[63],b'BINARY',0,"[1, 3, 3]",[2],b'BINARY',b'auto',b'BINARY',1135,1135,0,0,1916,8,2,0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_MVAU_hls_5,MVAU_hls,partition_2,0,256,2304,1,3,b'INT12',1,[766],b'BINARY',0,"[1, 1, 1]",[2],b'BINARY',b'auto',b'BINARY',3286,3286,0,0,2539,18,1,0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_MVAU_hls_6,MVAU_hls,partition_2,0,512,256,1,8,b'INT9',1,[2],b'BINARY',0,[1],[2],b'BINARY',b'auto',b'BINARY',324,324,0,0,464,4,1,0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_MVAU_hls_7,MVAU_hls,partition_2,0,512,512,1,16,b'INT10',1,[2],b'BINARY',0,[1],[2],b'BINARY',b'auto',b'BINARY',426,426,0,0,793,8,1,0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_MVAU_hls_8,MVAU_hls,partition_2,0,10,512,1,1,b'INT16',1,[2],b'BINARY',1,[1],[2],b'INT16',b'auto',b'BINARY',979,979,0,0,727,1,0,0
t4w1a1_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_0,MVAU_hls,partition_2,0,64,27,4,27,b'INT13',0,[783],b'INT8',0,"[1, 30, 30]",[2],b'BINARY',b'auto',b'INT2',2615,2615,0,0,3920,3,0,0
t4w1a1_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_1,MVAU_hls,partition_2,0,64,576,32,72,b'INT10',1,[2],b'BINARY',0,"[1, 28, 28]",[2],b'BINARY',b'auto',b'BINARY',7129,7129,0,0,8075,32,0,0
t4w1a1_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_2,MVAU_hls,partition_2,0,128,576,8,72,b'INT10',1,[656],b'BINARY',0,"[1, 12, 12]",[32],b'BINARY',b'auto',b'BINARY',2067,2067,0,0,2800,8,0,0
t4w1a1_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_3,MVAU_hls,partition_2,0,128,1152,16,72,b'INT11',1,[32],b'BINARY',0,"[1, 10, 10]",[2],b'BINARY',b'auto',b'BINARY',3881,3881,0,0,5358,16,0,0
t4w1a1_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_4,MVAU_hls,partition_2,0,256,1152,2,72,b'INT11',1,[63],b'BINARY',0,"[1, 3, 3]",[2],b'BINARY',b'auto',b'BINARY',1135,1135,0,0,1916,8,2,0
t4w1a1_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_5,MVAU_hls,partition_2,0,256,2304,1,3,b'INT12',1,[766],b'BINARY',0,"[1, 1, 1]",[2],b'BINARY',b'auto',b'BINARY',3286,3286,0,0,2539,18,1,0
t4w1a1_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_6,MVAU_hls,partition_2,0,512,256,1,8,b'INT9',1,[2],b'BINARY',0,[1],[2],b'BINARY',b'auto',b'BINARY',324,324,0,0,464,4,1,0
t4w1a1_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_7,MVAU_hls,partition_2,0,512,512,1,16,b'INT10',1,[2],b'BINARY',0,[1],[2],b'BINARY',b'auto',b'BINARY',426,426,0,0,793,8,1,0
t4w1a1_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_8,MVAU_hls,partition_2,0,10,512,1,1,b'INT16',1,[2],b'BINARY',1,[1],[2],b'INT16',b'auto',b'BINARY',979,979,0,0,727,1,0,0
t4w1a1_6000fps_u,StreamingDataflowPartition_1_MVAU_hls_0,MVAU_hls,partition_2,0,64,27,4,27,b'INT13',0,[783],b'INT8',0,"[1, 30, 30]",[2],b'BINARY',b'auto',b'INT2',2615,2615,0,0,3920,3,0,0
t4w1a1_6000fps_u,StreamingDataflowPartition_1_MVAU_hls_1,MVAU_hls,partition_2,0,64,576,32,72,b'INT10',1,[2],b'BINARY',0,"[1, 28, 28]",[2],b'BINARY',b'auto',b'BINARY',7129,7129,0,0,8075,32,0,0
t4w1a1_6000fps_u,StreamingDataflowPartition_1_MVAU_hls_2,MVAU_hls,partition_2,0,128,576,16,72,b'INT10',1,[32],b'BINARY',0,"[1, 12, 12]",[2],b'BINARY',b'auto',b'BINARY',2067,2067,0,0,2800,8,0,0
t4w1a1_6000fps_u,StreamingDataflowPartition_1_MVAU_hls_3,MVAU_hls,partition_2,0,128,1152,16,72,b'INT11',1,[32],b'BINARY',0,"[1, 10, 10]",[2],b'BINARY',b'auto',b'BINARY',3881,3881,0,0,5358,16,0,0
t4w1a1_6000fps_u,StreamingDataflowPartition_1_MVAU_hls_4,MVAU_hls,partition_2,0,256,1152,4,72,b'INT11',1,[32],b'BINARY',0,"[1, 3, 3]",[2],b'BINARY',b'auto',b'BINARY',1135,1135,0,0,1916,8,2,0
t4w1a1_6000fps_u,StreamingDataflowPartition_1_MVAU_hls_5,MVAU_hls,partition_2,0,256,2304,1,3,b'INT12',1,[766],b'BINARY',0,"[1, 1, 1]",[2],b'BINARY',b'auto',b'BINARY',3286,3286,0,0,2539,18,1,0
t4w1a1_6000fps_u,StreamingDataflowPartition_1_MVAU_hls_6,MVAU_hls,partition_2,0,512,256,1,8,b'INT9',1,[2],b'BINARY',0,[1],[2],b'BINARY',b'auto',b'BINARY',324,324,0,0,464,4,1,0
t4w1a1_6000fps_u,StreamingDataflowPartition_1_MVAU_hls_7,MVAU_hls,partition_2,0,512,512,1,16,b'INT10',1,[2],b'BINARY',0,[1],[2],b'BINARY',b'auto',b'BINARY',426,426,0,0,793,8,1,0
t4w1a1_6000fps_u,StreamingDataflowPartition_1_MVAU_hls_8,MVAU_hls,partition_2,0,10,512,1,1,b'INT16',1,[2],b'BINARY',1,[1],[2],b'INT16',b'auto',b'BINARY',979,979,0,0,727,1,0,0
t4w1a1_700fps_u,StreamingDataflowPartition_1_MVAU_hls_0,MVAU_hls,partition_2,0,64,27,1,27,b'INT13',0,[900],b'INT8',0,"[1, 30, 30]",[632],b'BINARY',b'auto',b'INT2',2615,2615,0,0,3920,3,0,0
t4w1a1_700fps_u,StreamingDataflowPartition_1_MVAU_hls_1,MVAU_hls,partition_2,0,64,576,4,72,b'INT10',1,[32],b'BINARY',0,"[1, 28, 28]",[2],b'BINARY',b'auto',b'BINARY',7129,7129,0,0,8075,32,0,0
t4w1a1_700fps_u,StreamingDataflowPartition_1_MVAU_hls_2,MVAU_hls,partition_2,0,128,576,1,96,b'INT10',1,[118],b'BINARY',0,"[1, 12, 12]",[3504],b'BINARY',b'auto',b'BINARY',2067,2067,0,0,2800,8,0,0
t4w1a1_700fps_u,StreamingDataflowPartition_1_MVAU_hls_3,MVAU_hls,partition_2,0,128,1152,2,72,b'INT11',1,[32],b'BINARY',0,"[1, 10, 10]",[2],b'BINARY',b'auto',b'BINARY',3881,3881,0,0,5358,16,0,0
t4w1a1_700fps_u,StreamingDataflowPartition_1_MVAU_hls_4,MVAU_hls,partition_2,0,256,1152,1,24,b'INT11',1,[238],b'BINARY',0,"[1, 3, 3]",[2],b'BINARY',b'auto',b'BINARY',1135,1135,0,0,1916,8,2,0
t4w1a1_700fps_u,StreamingDataflowPartition_1_MVAU_hls_5,MVAU_hls,partition_2,0,256,2304,1,3,b'INT12',1,[766],b'BINARY',0,"[1, 1, 1]",[168],b'BINARY',b'auto',b'BINARY',3286,3286,0,0,2539,18,1,0
t4w1a1_700fps_u,StreamingDataflowPartition_1_MVAU_hls_6,MVAU_hls,partition_2,0,512,256,1,1,b'INT9',1,[168],b'BINARY',0,[1],[2],b'BINARY',b'auto',b'BINARY',324,324,0,0,464,4,1,0
t4w1a1_700fps_u,StreamingDataflowPartition_1_MVAU_hls_7,MVAU_hls,partition_2,0,512,512,1,2,b'INT10',1,[125],b'BINARY',0,[1],[2],b'BINARY',b'auto',b'BINARY',426,426,0,0,793,8,1,0
t4w1a1_700fps_u,StreamingDataflowPartition_1_MVAU_hls_8,MVAU_hls,partition_2,0,10,512,1,1,b'INT16',1,[2],b'BINARY',1,[1],[2],b'INT16',b'auto',b'BINARY',979,979,0,0,727,1,0,0
t4w1a1_7500fps_u,StreamingDataflowPartition_1_MVAU_hls_0,MVAU_hls,partition_2,0,64,27,8,27,b'INT13',0,[2],b'INT8',0,"[1, 30, 30]",[2],b'BINARY',b'auto',b'INT2',2615,2615,0,0,3920,3,0,0
t4w1a1_7500fps_u,StreamingDataflowPartition_1_MVAU_hls_1,MVAU_hls,partition_2,0,64,576,32,72,b'INT10',1,[4694],b'BINARY',0,"[1, 28, 28]",[2],b'BINARY',b'auto',b'BINARY',7129,7129,0,0,8075,32,0,0
t4w1a1_7500fps_u,StreamingDataflowPartition_1_MVAU_hls_2,MVAU_hls,partition_2,0,128,576,16,72,b'INT10',1,[32],b'BINARY',0,"[1, 12, 12]",[2],b'BINARY',b'auto',b'BINARY',2067,2067,0,0,2800,8,0,0
t4w1a1_7500fps_u,StreamingDataflowPartition_1_MVAU_hls_3,MVAU_hls,partition_2,0,128,1152,16,72,b'INT11',1,[536],b'BINARY',0,"[1, 10, 10]",[2],b'BINARY',b'auto',b'BINARY',3881,3881,0,0,5358,16,0,0
t4w1a1_7500fps_u,StreamingDataflowPartition_1_MVAU_hls_4,MVAU_hls,partition_2,0,256,1152,4,72,b'INT11',1,[32],b'BINARY',0,"[1, 3, 3]",[2],b'BINARY',b'auto',b'BINARY',1135,1135,0,0,1916,8,2,0
t4w1a1_7500fps_u,StreamingDataflowPartition_1_MVAU_hls_5,MVAU_hls,partition_2,0,256,2304,1,3,b'INT12',1,[766],b'BINARY',0,"[1, 1, 1]",[2],b'BINARY',b'auto',b'BINARY',3286,3286,0,0,2539,18,1,0
t4w1a1_7500fps_u,StreamingDataflowPartition_1_MVAU_hls_6,MVAU_hls,partition_2,0,512,256,1,16,b'INT9',1,[2],b'BINARY',0,[1],[2],b'BINARY',b'auto',b'BINARY',324,324,0,0,464,4,1,0
t4w1a1_7500fps_u,StreamingDataflowPartition_1_MVAU_hls_7,MVAU_hls,partition_2,0,512,512,1,32,b'INT10',1,[2],b'BINARY',0,[1],[2],b'BINARY',b'auto',b'BINARY',426,426,0,0,793,8,1,0
t4w1a1_7500fps_u,StreamingDataflowPartition_1_MVAU_hls_8,MVAU_hls,partition_2,0,10,512,1,1,b'INT16',1,[2],b'BINARY',1,[1],[2],b'INT16',b'auto',b'BINARY',979,979,0,0,727,1,0,0
