Repository,Instance,PE,SIMD,ram_style,resType,mem_mode,runtime_writeable_weights,inFIFODepths,outFIFODepths,impl_style,depth,parallel_window,Total LUTs,Logic LUTs,LUTRAMs,SRLs
t1w2_500fps_u,StreamingDataflowPartition_1,,,,,,,,,,,,6618,6014,330,274
t1w2_500fps_u,ConvolutionInputGenerator_hls_0,,1,distributed,,,,4624,9216,,,0,931,751,180,0
t1w2_500fps_u,ConvolutionInputGenerator_hls_1,,,,,,,,,,,,795,705,90,0
t1w2_500fps_u,ConvolutionInputGenerator_hls_2,,,,,,,,,,,,708,678,30,0
t1w2_500fps_u,ConvolutionInputGenerator_hls_3,,,,,,,,,,,,716,686,30,0
t1w2_500fps_u,FMPadding_hls_0,,1,,,,,869,4624,,,,99,99,0,0
t1w2_500fps_u,FMPadding_hls_1,,,,,,,,,,,,87,87,0,0
t1w2_500fps_u,FMPadding_hls_2,,,,,,,,,,,,72,72,0,0
t1w2_500fps_u,FMPadding_hls_3,,,,,,,,,,,,71,71,0,0
t1w2_500fps_u,LabelSelect_hls_0,1,,,,,,2,2,,,,54,54,0,0
t1w2_500fps_u,MVAU_hls_0,1,1,auto,auto,internal_decoupled,0,9216,2,,,,689,689,0,0
t1w2_500fps_u,MVAU_hls_1,1,1,auto,auto,internal_decoupled,0,2,2,,,,387,387,0,0
t1w2_500fps_u,MVAU_hls_2,1,2,auto,auto,internal_decoupled,0,32,2,,,,307,307,0,0
t1w2_500fps_u,MVAU_hls_3,,,,,,,,,,,,661,661,0,0
t1w2_500fps_u,MVAU_hls_4,,,,,,,,,,,,275,275,0,0
t1w2_500fps_u,StreamingDataWidthConverter_rtl_0,,,,,,,2,32,,,,12,12,0,0
t1w2_500fps_u,StreamingDataWidthConverter_rtl_1,,,,,,,,,,,,5,5,0,0
t1w2_500fps_u,StreamingDataWidthConverter_rtl_2,,,,,,,,,,,,4,4,0,0
t1w2_500fps_u,StreamingFIFO_rtl_0,,,auto,,,,0,0,rtl,869,,299,75,0,224
t1w2_500fps_u,StreamingFIFO_rtl_1,,,auto,,,,0,0,vivado,4624,,30,30,0,0
t1w2_500fps_u,StreamingFIFO_rtl_10,,,,,,,,,,,,6,6,0,0
t1w2_500fps_u,StreamingFIFO_rtl_11,,,,,,,,,,,,67,43,0,24
t1w2_500fps_u,StreamingFIFO_rtl_12,,,,,,,,,,,,5,5,0,0
t1w2_500fps_u,StreamingFIFO_rtl_13,,,,,,,,,,,,40,32,0,8
t1w2_500fps_u,StreamingFIFO_rtl_14,,,,,,,,,,,,47,47,0,0
t1w2_500fps_u,StreamingFIFO_rtl_15,,,,,,,,,,,,5,5,0,0
t1w2_500fps_u,StreamingFIFO_rtl_16,,,,,,,,,,,,11,11,0,0
t1w2_500fps_u,StreamingFIFO_rtl_17,,,,,,,,,,,,7,7,0,0
t1w2_500fps_u,StreamingFIFO_rtl_2,,,auto,,,,0,0,vivado,9216,,11,11,0,0
t1w2_500fps_u,StreamingFIFO_rtl_3,,,auto,,,,0,0,rtl,2,,43,43,0,0
t1w2_500fps_u,StreamingFIFO_rtl_4,,,auto,,,,0,0,rtl,2,,48,38,0,10
t1w2_500fps_u,StreamingFIFO_rtl_5,,,auto,,,,0,0,rtl,32,,43,43,0,0
t1w2_500fps_u,StreamingFIFO_rtl_6,,,auto,,,,0,0,rtl,2,,6,6,0,0
t1w2_500fps_u,StreamingFIFO_rtl_7,,,auto,,,,0,0,rtl,2,,43,43,0,0
t1w2_500fps_u,StreamingFIFO_rtl_8,,,,,,,,,,,,5,5,0,0
t1w2_500fps_u,StreamingFIFO_rtl_9,,,,,,,,,,,,43,35,0,8
t1w2_5000fps_u,StreamingDataflowPartition_1,,,,,,,,,,,,5281,4864,193,224
t1w2_5000fps_u,ConvolutionInputGenerator_hls_0,,1,distributed,,,,4624,2,,,0,925,745,180,0
t1w2_5000fps_u,FMPadding_hls_0,,1,,,,,869,4624,,,,99,99,0,0
t1w2_5000fps_u,LabelSelect_hls_0,1,,,,,,2,2,,,,69,69,0,0
t1w2_5000fps_u,MVAU_hls_0,1,12,auto,auto,internal_decoupled,0,593,2,,,,737,737,0,0
t1w2_5000fps_u,MVAU_hls_1,1,4,auto,auto,internal_decoupled,0,2,2,,,,273,260,13,0
t1w2_5000fps_u,MVAU_hls_2,1,2,auto,auto,internal_decoupled,0,338,2,,,,2686,2686,0,0
t1w2_5000fps_u,StreamingDataWidthConverter_rtl_0,,,,,,,2,593,,,,11,11,0,0
t1w2_5000fps_u,StreamingDataWidthConverter_rtl_1,,,,,,,2,2,,,,5,5,0,0
t1w2_5000fps_u,StreamingDataWidthConverter_rtl_2,,,,,,,2,338,,,,4,4,0,0
t1w2_5000fps_u,StreamingFIFO_rtl_0,,,auto,,,,0,0,rtl,869,,299,75,0,224
t1w2_5000fps_u,StreamingFIFO_rtl_1,,,auto,,,,0,0,vivado,4624,,30,30,0,0
t1w2_5000fps_u,StreamingFIFO_rtl_2,,,auto,,,,0,0,rtl,2,,12,12,0,0
t1w2_5000fps_u,StreamingFIFO_rtl_3,,,auto,,,,0,0,vivado,593,,43,43,0,0
t1w2_5000fps_u,StreamingFIFO_rtl_4,,,auto,,,,0,0,rtl,2,,7,7,0,0
t1w2_5000fps_u,StreamingFIFO_rtl_5,,,auto,,,,0,0,rtl,2,,11,11,0,0
t1w2_5000fps_u,StreamingFIFO_rtl_6,,,auto,,,,0,0,rtl,2,,7,7,0,0
t1w2_5000fps_u,StreamingFIFO_rtl_7,,,auto,,,,0,0,vivado,338,,47,47,0,0
t1w2_5000fps_u,StreamingFIFO_rtl_8,,,auto,,,,0,0,rtl,2,,16,16,0,0
t1w2_5000fps_u,StreamingFIFO_rtl_9,,,auto,,,,0,0,rtl,2,,7,7,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1,,,,,,,,,,,,8726,8085,255,386
t1w2_50000fps_u,ConvolutionInputGenerator_hls_0,,4,distributed,,,,146,2,,,0,1010,790,220,0
t1w2_50000fps_u,FMPadding_hls_0,,2,,,,,435,2,,,,112,112,0,0
t1w2_50000fps_u,LabelSelect_hls_0,1,,,,,,2,2,,,,69,69,0,0
t1w2_50000fps_u,MVAU_hls_0,4,36,auto,auto,internal_decoupled,0,2,2,,,,3407,3407,0,0
t1w2_50000fps_u,MVAU_hls_1,1,20,auto,auto,internal_decoupled,0,2,2,,,,350,315,35,0
t1w2_50000fps_u,MVAU_hls_2,1,2,auto,auto,internal_decoupled,0,1022,2,,,,2692,2692,0,0
t1w2_50000fps_u,StreamingDataWidthConverter_rtl_0,,,,,,,2,146,,,,11,11,0,0
t1w2_50000fps_u,StreamingDataWidthConverter_rtl_1,,,,,,,2,2,,,,24,24,0,0
t1w2_50000fps_u,StreamingDataWidthConverter_rtl_2,,,,,,,2,2,,,,12,10,0,2
t1w2_50000fps_u,StreamingDataWidthConverter_rtl_3,,,,,,,2,1022,,,,4,4,0,0
t1w2_50000fps_u,StreamingFIFO_rtl_0,,,auto,,,,0,0,rtl,435,,310,86,0,224
t1w2_50000fps_u,StreamingFIFO_rtl_1,,,auto,,,,0,0,rtl,2,,19,19,0,0
t1w2_50000fps_u,StreamingFIFO_rtl_10,,,auto,,,,0,0,rtl,2,,7,7,0,0
t1w2_50000fps_u,StreamingFIFO_rtl_2,,,auto,,,,0,0,rtl,146,,262,102,0,160
t1w2_50000fps_u,StreamingFIFO_rtl_3,,,auto,,,,0,0,rtl,2,,35,35,0,0
t1w2_50000fps_u,StreamingFIFO_rtl_4,,,auto,,,,0,0,rtl,2,,298,298,0,0
t1w2_50000fps_u,StreamingFIFO_rtl_5,,,auto,,,,0,0,rtl,2,,11,11,0,0
t1w2_50000fps_u,StreamingFIFO_rtl_6,,,auto,,,,0,0,rtl,2,,39,39,0,0
t1w2_50000fps_u,StreamingFIFO_rtl_7,,,auto,,,,0,0,rtl,2,,4,4,0,0
t1w2_50000fps_u,StreamingFIFO_rtl_8,,,auto,,,,0,0,vivado,1022,,43,43,0,0
t1w2_50000fps_u,StreamingFIFO_rtl_9,,,auto,,,,0,0,rtl,2,,16,16,0,0
t1w4_500fps_u,StreamingDataflowPartition_1,,,,,,,,,,,,6614,6202,180,232
t1w4_500fps_u,ConvolutionInputGenerator_hls_0,,1,distributed,,,,4624,9216,,,0,927,747,180,0
t1w4_500fps_u,FMPadding_hls_0,,1,,,,,869,4624,,,,99,99,0,0
t1w4_500fps_u,LabelSelect_hls_0,1,,,,,,2,2,,,,75,75,0,0
t1w4_500fps_u,MVAU_hls_0,1,1,auto,auto,internal_decoupled,0,9216,2,,,,507,507,0,0
t1w4_500fps_u,MVAU_hls_1,1,1,auto,auto,internal_decoupled,0,2,2,,,,350,350,0,0
t1w4_500fps_u,MVAU_hls_2,1,2,auto,auto,internal_decoupled,0,32,2,,,,4224,4224,0,0
t1w4_500fps_u,StreamingDataWidthConverter_rtl_0,,,,,,,2,32,,,,5,5,0,0
t1w4_500fps_u,StreamingFIFO_rtl_0,,,auto,,,,0,0,rtl,869,,298,74,0,224
t1w4_500fps_u,StreamingFIFO_rtl_1,,,auto,,,,0,0,vivado,4624,,30,30,0,0
t1w4_500fps_u,StreamingFIFO_rtl_2,,,auto,,,,0,0,vivado,9216,,30,30,0,0
t1w4_500fps_u,StreamingFIFO_rtl_3,,,auto,,,,0,0,rtl,2,,8,8,0,0
t1w4_500fps_u,StreamingFIFO_rtl_4,,,auto,,,,0,0,rtl,2,,7,7,0,0
t1w4_500fps_u,StreamingFIFO_rtl_5,,,auto,,,,0,0,rtl,32,,38,30,0,8
t1w4_500fps_u,StreamingFIFO_rtl_6,,,auto,,,,0,0,rtl,2,,18,18,0,0
t1w4_500fps_u,StreamingFIFO_rtl_7,,,auto,,,,0,0,rtl,2,,7,7,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1,,,,,,,,,,,,7274,6870,180,224
t1w4_5000fps_u,ConvolutionInputGenerator_hls_0,,1,distributed,,,,4624,2,,,0,923,743,180,0
t1w4_5000fps_u,FMPadding_hls_0,,1,,,,,869,4624,,,,99,99,0,0
t1w4_5000fps_u,LabelSelect_hls_0,1,,,,,,2,2,,,,75,75,0,0
t1w4_5000fps_u,MVAU_hls_0,1,12,auto,auto,internal_decoupled,0,593,2,,,,1059,1059,0,0
t1w4_5000fps_u,MVAU_hls_1,1,4,auto,auto,internal_decoupled,0,2,2,,,,399,399,0,0
t1w4_5000fps_u,MVAU_hls_2,1,2,auto,auto,internal_decoupled,0,338,2,,,,4213,4213,0,0
t1w4_5000fps_u,StreamingDataWidthConverter_rtl_0,,,,,,,2,593,,,,11,11,0,0
t1w4_5000fps_u,StreamingDataWidthConverter_rtl_1,,,,,,,2,2,,,,6,6,0,0
t1w4_5000fps_u,StreamingDataWidthConverter_rtl_2,,,,,,,2,338,,,,5,5,0,0
t1w4_5000fps_u,StreamingFIFO_rtl_0,,,auto,,,,0,0,rtl,869,,298,74,0,224
t1w4_5000fps_u,StreamingFIFO_rtl_1,,,auto,,,,0,0,vivado,4624,,30,30,0,0
t1w4_5000fps_u,StreamingFIFO_rtl_2,,,auto,,,,0,0,rtl,2,,12,12,0,0
t1w4_5000fps_u,StreamingFIFO_rtl_3,,,auto,,,,0,0,vivado,593,,43,43,0,0
t1w4_5000fps_u,StreamingFIFO_rtl_4,,,auto,,,,0,0,rtl,2,,8,8,0,0
t1w4_5000fps_u,StreamingFIFO_rtl_5,,,auto,,,,0,0,rtl,2,,19,19,0,0
t1w4_5000fps_u,StreamingFIFO_rtl_6,,,auto,,,,0,0,rtl,2,,8,8,0,0
t1w4_5000fps_u,StreamingFIFO_rtl_7,,,auto,,,,0,0,vivado,338,,47,47,0,0
t1w4_5000fps_u,StreamingFIFO_rtl_8,,,auto,,,,0,0,rtl,2,,18,18,0,0
t1w4_5000fps_u,StreamingFIFO_rtl_9,,,auto,,,,0,0,rtl,2,,7,7,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1,,,,,,,,,,,,12348,11686,278,384
t1w4_50000fps_u,ConvolutionInputGenerator_hls_0,,4,distributed,,,,146,2,,,0,1010,790,220,0
t1w4_50000fps_u,FMPadding_hls_0,,2,,,,,435,2,,,,112,112,0,0
t1w4_50000fps_u,LabelSelect_hls_0,1,,,,,,2,2,,,,75,75,0,0
t1w4_50000fps_u,MVAU_hls_0,5,18,auto,auto,internal_decoupled,0,2,2,,,,4657,4657,0,0
t1w4_50000fps_u,MVAU_hls_1,1,20,auto,auto,internal_decoupled,0,2,2,,,,740,682,58,0
t1w4_50000fps_u,MVAU_hls_2,1,2,auto,auto,internal_decoupled,0,1022,2,,,,4223,4223,0,0
t1w4_50000fps_u,StreamingDataWidthConverter_hls_0,,,,,,,2,2,,,,557,557,0,0
t1w4_50000fps_u,StreamingDataWidthConverter_rtl_0,,,,,,,2,146,,,,12,12,0,0
t1w4_50000fps_u,StreamingDataWidthConverter_rtl_1,,,,,,,2,2,,,,14,14,0,0
t1w4_50000fps_u,StreamingDataWidthConverter_rtl_2,,,,,,,2,1022,,,,5,5,0,0
t1w4_50000fps_u,StreamingFIFO_rtl_0,,,auto,,,,0,0,rtl,435,,310,86,0,224
t1w4_50000fps_u,StreamingFIFO_rtl_1,,,auto,,,,0,0,rtl,2,,20,20,0,0
t1w4_50000fps_u,StreamingFIFO_rtl_10,,,auto,,,,0,0,rtl,2,,7,7,0,0
t1w4_50000fps_u,StreamingFIFO_rtl_2,,,auto,,,,0,0,rtl,146,,258,98,0,160
t1w4_50000fps_u,StreamingFIFO_rtl_3,,,auto,,,,0,0,rtl,2,,36,36,0,0
t1w4_50000fps_u,StreamingFIFO_rtl_4,,,auto,,,,0,0,rtl,2,,149,149,0,0
t1w4_50000fps_u,StreamingFIFO_rtl_5,,,auto,,,,0,0,rtl,2,,23,23,0,0
t1w4_50000fps_u,StreamingFIFO_rtl_6,,,auto,,,,0,0,rtl,2,,83,83,0,0
t1w4_50000fps_u,StreamingFIFO_rtl_7,,,auto,,,,0,0,rtl,2,,7,7,0,0
t1w4_50000fps_u,StreamingFIFO_rtl_8,,,auto,,,,0,0,vivado,1022,,43,43,0,0
t1w4_50000fps_u,StreamingFIFO_rtl_9,,,auto,,,,0,0,rtl,2,,18,18,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1,,,,,,,,,,,,14034,13630,180,224
t1w8_5000fps_u,ConvolutionInputGenerator_hls_0,,1,distributed,,,,4624,2,,,0,931,751,180,0
t1w8_5000fps_u,FMPadding_hls_0,,1,,,,,869,4624,,,,99,99,0,0
t1w8_5000fps_u,LabelSelect_hls_0,1,,,,,,2,2,,,,99,99,0,0
t1w8_5000fps_u,MVAU_hls_0,1,12,auto,auto,internal_decoupled,0,593,2,,,,3267,3267,0,0
t1w8_5000fps_u,MVAU_hls_1,1,4,auto,auto,internal_decoupled,0,2,2,,,,2914,2914,0,0
t1w8_5000fps_u,MVAU_hls_2,1,2,auto,auto,internal_decoupled,0,338,2,,,,6182,6182,0,0
t1w8_5000fps_u,StreamingDataWidthConverter_rtl_0,,,,,,,2,593,,,,11,11,0,0
t1w8_5000fps_u,StreamingDataWidthConverter_rtl_1,,,,,,,2,2,,,,8,8,0,0
t1w8_5000fps_u,StreamingDataWidthConverter_rtl_2,,,,,,,2,338,,,,7,7,0,0
t1w8_5000fps_u,StreamingFIFO_rtl_0,,,auto,,,,0,0,rtl,869,,298,74,0,224
t1w8_5000fps_u,StreamingFIFO_rtl_1,,,auto,,,,0,0,vivado,4624,,30,30,0,0
t1w8_5000fps_u,StreamingFIFO_rtl_2,,,auto,,,,0,0,rtl,2,,12,12,0,0
t1w8_5000fps_u,StreamingFIFO_rtl_3,,,auto,,,,0,0,vivado,593,,43,43,0,0
t1w8_5000fps_u,StreamingFIFO_rtl_4,,,auto,,,,0,0,rtl,2,,12,12,0,0
t1w8_5000fps_u,StreamingFIFO_rtl_5,,,auto,,,,0,0,rtl,2,,36,36,0,0
t1w8_5000fps_u,StreamingFIFO_rtl_6,,,auto,,,,0,0,rtl,2,,12,12,0,0
t1w8_5000fps_u,StreamingFIFO_rtl_7,,,auto,,,,0,0,vivado,338,,47,47,0,0
t1w8_5000fps_u,StreamingFIFO_rtl_8,,,auto,,,,0,0,rtl,2,,26,26,0,0
t1w8_5000fps_u,StreamingFIFO_rtl_9,,,auto,,,,0,0,rtl,2,,7,7,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1,,,,,,,,,,,,39293,38689,220,384
t1w8_50000fps_u,ConvolutionInputGenerator_hls_0,,4,distributed,,,,146,2,,,0,975,755,220,0
t1w8_50000fps_u,FMPadding_hls_0,,2,,,,,435,2,,,,112,112,0,0
t1w8_50000fps_u,LabelSelect_hls_0,1,,,,,,2,2,,,,99,99,0,0
t1w8_50000fps_u,MVAU_hls_0,10,9,auto,auto,internal_decoupled,0,2,2,,,,27281,27281,0,0
t1w8_50000fps_u,MVAU_hls_1,1,20,auto,auto,internal_decoupled,0,2,2,,,,3078,3078,0,0
t1w8_50000fps_u,MVAU_hls_2,1,2,auto,auto,internal_decoupled,0,1022,2,,,,6172,6172,0,0
t1w8_50000fps_u,StreamingDataWidthConverter_hls_0,,,,,,,2,2,,,,489,489,0,0
t1w8_50000fps_u,StreamingDataWidthConverter_rtl_0,,,,,,,2,146,,,,12,12,0,0
t1w8_50000fps_u,StreamingDataWidthConverter_rtl_1,,,,,,,2,2,,,,43,43,0,0
t1w8_50000fps_u,StreamingDataWidthConverter_rtl_2,,,,,,,2,1022,,,,7,7,0,0
t1w8_50000fps_u,StreamingFIFO_rtl_0,,,auto,,,,0,0,rtl,435,,310,86,0,224
t1w8_50000fps_u,StreamingFIFO_rtl_1,,,auto,,,,0,0,rtl,2,,19,19,0,0
t1w8_50000fps_u,StreamingFIFO_rtl_10,,,auto,,,,0,0,rtl,2,,7,7,0,0
t1w8_50000fps_u,StreamingFIFO_rtl_2,,,auto,,,,0,0,rtl,146,,258,98,0,160
t1w8_50000fps_u,StreamingFIFO_rtl_3,,,auto,,,,0,0,rtl,2,,36,36,0,0
t1w8_50000fps_u,StreamingFIFO_rtl_4,,,auto,,,,0,0,rtl,2,,77,77,0,0
t1w8_50000fps_u,StreamingFIFO_rtl_5,,,auto,,,,0,0,rtl,2,,83,83,0,0
t1w8_50000fps_u,StreamingFIFO_rtl_6,,,auto,,,,0,0,rtl,2,,165,165,0,0
t1w8_50000fps_u,StreamingFIFO_rtl_7,,,auto,,,,0,0,rtl,2,,11,11,0,0
t1w8_50000fps_u,StreamingFIFO_rtl_8,,,auto,,,,0,0,vivado,1022,,44,44,0,0
t1w8_50000fps_u,StreamingFIFO_rtl_9,,,auto,,,,0,0,rtl,2,,26,26,0,0
